Fruit_ID,Fruit_Type,Size_cm,Weight_g,Color_Intensity,Ripeness_Level,Firmness,Sweetness,Defect_Count,Bruise_Score,Spot_Score,Defect_Score,Size_to_Weight_Ratio,Grade
FR00071,Pear,9.53,173.81,0.64,0.08,0.41,0.05,1,0.22,0.38,0.19,5.48,Reject
FR00072,Grapes,1.73,4.38,0.34,0.75,0.79,0.64,0,0.13,0.01,0.04,39.4,Local
FR00073,Banana,20.81,122.48,0.46,0.14,0.2,0.19,2,0.64,0.97,0.48,16.99,Reject
FR00074,Grapes,1.87,5.38,0.71,0.03,0.49,0.44,3,0.83,0.72,0.54,34.7,Reject
FR00075,Pear,8.12,220.52,0.36,0.52,0.13,0.69,3,0.15,0.24,0.24,3.68,Local
FR00076,Watermelon,29.06,4650.07,0.6,0.58,0.41,0.45,1,0.9,0.31,0.38,0.62,Local
FR00077,Strawberry,3.24,12.15,0.53,0.03,0.26,0.91,2,0.74,0.9,0.5,26.64,Reject
FR00078,Strawberry,2.88,15.98,0.87,0.52,0.55,0.77,1,0.68,0.25,0.3,18.01,Local
FR00079,Apple,8.13,152.17,0.38,0.53,0.78,0.27,1,0.12,0.09,0.1,5.34,Local
FR00080,Strawberry,2.93,19.16,0.78,0.05,0.94,0.13,0,0.93,0.84,0.45,15.32,Reject
FR00081,Peach,7.42,151.08,0.58,0.71,0.28,0.89,0,0.47,0.7,0.28,4.91,Local
FR00082,Strawberry,2.7,19.62,0.71,0.21,0.74,0.4,1,0.54,0.54,0.32,13.78,Reject
FR00083,Pear,7.51,204.35,0.44,0.79,0.89,0.38,5,0.51,0.55,0.51,3.67,Local
FR00084,Apple,8.75,138.45,0.73,0.31,0.12,0.81,0,0.53,0.69,0.3,6.32,Reject
FR00085,Pear,8.17,167.55,0.77,0.48,0.59,0.01,1,0.82,0.91,0.48,4.88,Local
FR00086,Pear,6.57,189.07,0.35,0.89,0.61,0.45,1,0.1,0.82,0.24,3.47,Local
FR00087,Mango,10.64,286.38,0.88,0.81,0.27,0.71,0,0.48,0.23,0.19,3.72,Export
FR00088,Apple,6.95,145.14,0.9,0.78,0.02,0.85,1,0.61,0.64,0.36,4.79,Local
FR00089,Pear,7.37,152.88,0.34,0.16,0.26,0.89,2,0.12,0.67,0.27,4.82,Reject
FR00090,Mango,9.44,287.35,0.72,0.05,0.58,0.47,0,0.58,0.82,0.34,3.29,Reject
FR00091,Mango,10.08,254.66,0.72,0.61,0.2,0.85,0,0.51,0.91,0.33,3.96,Local
FR00092,Apple,7.63,129.53,0.31,0.41,0.29,0.04,1,0.22,0.06,0.13,5.89,Local
FR00093,Grapes,1.96,5.45,0.54,0.91,0.71,0.31,2,0.26,0.09,0.2,35.96,Local
FR00094,Watermelon,21.38,5606.83,0.98,0.35,0.4,0.01,0,0.09,0.1,0.04,0.38,Reject
FR00095,Peach,6.29,129.86,0.69,0.41,0.07,0.17,2,0.71,0.69,0.45,4.84,Local
FR00096,Watermelon,26.59,4502.42,0.95,0.53,0.4,0.72,0,0.15,0.93,0.23,0.59,Local
FR00097,Strawberry,3.52,19.06,0.77,0.8,1.0,0.0,2,0.79,0.58,0.45,18.45,Local
FR00098,Peach,7.11,90.0,0.32,0.27,0.26,0.52,1,0.89,0.57,0.43,7.9,Reject
FR00099,Strawberry,2.73,21.85,0.35,0.94,0.27,0.41,4,0.24,0.84,0.44,12.5,Local
FR00100,Pear,10.12,155.42,0.81,0.54,0.17,0.12,4,0.26,0.99,0.48,6.51,Local
FR00101,Banana,17.47,125.3,0.69,0.84,0.27,0.69,0,0.12,0.94,0.23,13.94,Export
FR00102,Apple,8.67,111.34,0.39,0.53,0.57,0.69,0,0.54,0.61,0.28,7.78,Local
FR00103,Peach,6.26,133.02,0.73,0.77,0.96,0.73,0,0.96,1.0,0.49,4.7,Local
FR00104,Peach,7.59,192.47,0.87,0.05,0.61,0.77,1,0.24,0.72,0.27,3.94,Reject
FR00105,Pear,8.75,142.01,0.83,0.8,0.41,0.31,0,0.16,0.7,0.19,6.16,Local
FR00106,Grapes,2.1,5.99,0.47,0.52,0.39,0.99,1,0.61,0.1,0.25,35.0,Local
FR00107,Mango,11.14,216.0,0.48,0.45,0.02,0.07,3,0.86,0.3,0.47,5.16,Local
FR00108,Pear,10.03,197.92,0.98,0.11,0.0,0.65,1,0.87,0.58,0.43,5.07,Reject
FR00109,Pomegranate,7.89,296.02,0.92,0.74,0.8,0.97,2,0.35,0.7,0.34,2.67,Local
FR00110,Mango,12.32,294.32,0.52,0.13,0.49,0.22,2,0.79,0.2,0.38,4.18,Reject
FR00111,Apple,7.94,151.41,0.88,0.19,0.03,0.28,2,0.59,0.81,0.44,5.24,Reject
FR00112,Mango,12.62,204.62,0.41,0.13,0.29,0.58,3,0.73,0.88,0.55,6.17,Reject
FR00113,Grapes,2.11,3.97,0.44,0.01,0.36,0.78,2,0.68,0.85,0.47,53.0,Reject
FR00114,Mango,12.41,240.32,0.43,0.66,0.78,0.33,2,0.13,0.54,0.25,5.16,Local
FR00115,Apple,9.22,171.79,0.36,0.27,0.43,0.84,0,0.36,0.34,0.18,5.37,Reject
FR00116,Grapes,1.71,6.07,0.9,0.15,0.79,0.24,0,0.76,0.84,0.4,28.12,Reject
FR00117,Watermelon,29.65,5661.71,0.71,0.32,0.63,0.87,2,0.76,0.74,0.48,0.52,Reject
FR00118,Peach,6.36,133.57,0.48,0.5,0.03,0.25,2,0.12,0.04,0.14,4.76,Local
FR00119,Peach,7.12,125.22,0.89,0.5,0.97,0.62,1,0.46,0.5,0.29,5.69,Local
FR00120,Strawberry,4.21,20.43,0.86,0.37,0.18,0.36,2,0.87,0.82,0.53,20.61,Reject
FR00121,Watermelon,16.89,5254.52,0.37,0.49,0.28,0.32,4,0.79,0.57,0.55,0.32,Reject
FR00122,Watermelon,23.96,4943.81,0.75,0.43,0.81,0.35,0,0.58,0.27,0.23,0.48,Local
FR00123,Mango,10.51,280.26,0.81,0.82,0.19,0.5,3,0.21,0.02,0.22,3.75,Local
FR00124,Peach,7.94,145.94,0.8,0.03,0.4,0.85,3,0.32,0.23,0.29,5.44,Reject
FR00125,Apple,7.67,159.01,0.81,0.87,0.86,0.76,1,0.65,0.61,0.37,4.83,Local
FR00126,Orange,7.52,131.95,0.42,0.24,0.64,0.45,0,0.78,0.25,0.29,5.7,Reject
FR00127,Orange,8.02,160.35,0.52,0.72,0.3,0.28,1,0.61,0.01,0.24,5.0,Local
FR00128,Grapes,2.37,5.94,0.89,0.41,0.64,0.85,1,0.4,0.07,0.18,39.88,Local
FR00129,Peach,6.42,157.23,0.93,0.29,0.81,0.87,4,0.58,0.38,0.45,4.09,Reject
FR00130,Peach,6.2,154.61,0.5,0.62,0.4,0.45,0,0.0,0.46,0.09,4.01,Local
FR00131,Orange,7.04,126.98,0.32,0.77,0.57,0.7,2,0.74,0.76,0.47,5.54,Local
FR00132,Peach,7.24,83.83,0.9,0.45,0.99,0.37,2,0.84,0.54,0.46,8.63,Local
FR00133,Mango,8.69,243.34,0.56,0.47,0.96,0.15,0,0.05,0.78,0.17,3.57,Local
FR00134,Pomegranate,9.09,264.49,0.53,0.06,0.51,0.32,1,0.4,0.15,0.2,3.44,Reject
FR00135,Banana,14.59,105.28,0.54,0.92,0.1,0.68,2,0.85,0.35,0.42,13.86,Local
FR00136,Watermelon,26.17,5436.34,0.59,0.85,0.7,0.77,0,0.6,0.52,0.28,0.48,Local
FR00137,Strawberry,3.49,23.47,0.56,0.4,0.27,0.85,0,0.48,0.02,0.15,14.88,Reject
FR00138,Grapes,2.1,4.44,0.7,0.76,0.67,0.02,0,0.09,0.96,0.22,47.2,Local
FR00139,Pomegranate,8.7,221.08,0.36,0.31,0.35,0.49,3,0.74,0.92,0.56,3.93,Reject
FR00140,Orange,7.4,175.02,0.98,0.73,0.72,0.27,1,0.69,0.66,0.39,4.23,Local
FR00141,Watermelon,27.06,6051.51,0.96,0.52,0.37,0.68,2,0.59,0.21,0.32,0.45,Local
FR00142,Peach,6.75,168.27,0.95,0.46,0.94,0.25,1,0.06,0.14,0.1,4.01,Local
FR00143,Strawberry,3.42,24.41,0.92,0.06,0.14,0.57,1,0.64,0.89,0.42,14.0,Reject
FR00144,Peach,6.98,154.85,0.76,0.97,0.07,0.71,2,0.05,0.29,0.17,4.51,Export
FR00145,Apple,9.42,155.36,0.45,0.84,0.78,0.77,5,0.82,0.38,0.57,6.06,Reject
FR00146,Apple,8.21,190.93,0.33,0.79,0.4,0.27,0,0.87,0.4,0.34,4.3,Local
FR00147,Strawberry,3.44,16.04,0.37,0.3,0.47,0.09,0,0.53,0.21,0.2,21.48,Reject
FR00148,Strawberry,4.4,18.59,0.53,0.29,0.93,0.22,4,0.85,0.72,0.6,23.67,Reject
FR00149,Orange,7.64,176.01,0.65,0.57,0.59,0.6,0,0.4,0.58,0.24,4.34,Local
FR00150,Strawberry,3.24,16.98,1.0,0.85,0.66,0.04,1,0.29,0.89,0.31,19.11,Local
FR00151,Mango,11.33,182.76,0.6,0.93,0.02,0.16,0,0.48,0.22,0.19,6.2,Local
FR00152,Peach,6.76,145.15,0.67,0.27,0.67,1.0,1,0.56,0.34,0.29,4.66,Reject
FR00153,Pomegranate,8.71,215.18,0.79,0.61,0.39,0.38,2,0.77,0.49,0.43,4.05,Local
FR00154,Pear,10.72,182.8,0.43,0.72,0.46,0.5,1,0.6,0.47,0.33,5.87,Local
FR00155,Strawberry,4.1,19.22,0.95,0.23,0.81,0.01,0,0.86,0.98,0.45,21.34,Reject
FR00156,Grapes,1.79,5.2,0.67,0.41,0.52,0.59,0,0.94,0.6,0.4,34.39,Local
FR00157,Apple,7.79,131.73,0.49,0.19,0.99,0.33,0,0.52,0.41,0.24,5.92,Reject
FR00158,Mango,12.94,226.66,0.95,0.7,0.8,0.53,2,0.72,0.29,0.37,5.71,Local
FR00159,Watermelon,19.48,5996.12,0.74,0.86,0.73,0.53,2,0.48,0.58,0.36,0.32,Local
FR00160,Pear,8.46,163.59,0.64,0.88,0.59,0.97,2,0.91,0.55,0.48,5.17,Local
FR00161,Pomegranate,7.09,353.12,0.71,0.67,0.41,0.27,1,0.03,0.51,0.16,2.01,Local
FR00162,Pear,7.61,181.58,0.82,0.35,0.05,0.57,1,0.72,0.94,0.45,4.19,Reject
FR00163,Strawberry,3.88,21.27,0.41,0.66,0.02,0.38,2,0.5,0.5,0.35,18.26,Local
FR00164,Orange,7.45,111.71,0.91,0.86,0.05,0.42,4,0.06,0.23,0.26,6.67,Local
FR00165,Apple,7.22,164.51,0.97,0.63,0.96,0.06,1,0.75,0.16,0.3,4.39,Local
FR00166,Apple,7.24,164.88,0.7,0.41,0.32,0.69,1,0.39,0.91,0.35,4.39,Local
FR00167,Watermelon,27.05,5721.88,0.78,0.92,0.7,0.2,1,0.53,1.0,0.41,0.47,Local
FR00168,Orange,6.4,199.42,0.9,0.84,0.59,0.47,0,0.71,0.59,0.33,3.21,Local
FR00169,Peach,7.64,139.96,0.56,0.88,0.57,0.43,1,0.25,0.73,0.27,5.46,Local
FR00170,Banana,20.35,162.58,0.99,0.9,0.58,0.47,1,0.29,0.42,0.22,12.52,Local
FR00171,Mango,9.1,241.55,0.78,0.39,0.3,0.38,0,0.36,0.86,0.28,3.77,Reject
FR00172,Apple,5.72,164.62,0.6,0.86,0.89,0.24,1,0.75,0.35,0.34,3.47,Local
FR00173,Grapes,2.09,4.97,0.77,0.57,0.92,0.45,2,0.98,0.02,0.4,42.0,Local
FR00174,Apple,7.37,110.81,0.67,0.04,0.64,0.05,1,0.36,0.04,0.17,6.65,Reject
FR00175,Pear,9.4,219.3,0.38,0.64,0.86,0.24,0,0.61,0.83,0.35,4.29,Local
FR00176,Apple,7.43,170.56,0.86,0.47,0.06,0.78,0,0.32,0.42,0.18,4.36,Local
FR00177,Apple,6.49,170.97,0.7,0.28,0.1,0.84,2,0.88,0.97,0.56,3.8,Reject
FR00178,Banana,17.15,106.28,0.86,0.97,0.56,0.72,1,0.94,0.42,0.41,16.14,Local
FR00179,Banana,16.36,112.91,0.41,0.06,0.85,0.63,0,0.19,0.95,0.25,14.49,Reject
FR00180,Pomegranate,9.41,224.89,0.68,0.95,0.32,0.81,1,0.65,0.47,0.34,4.19,Local
FR00181,Peach,6.67,139.13,0.84,0.16,0.55,0.13,1,0.91,0.72,0.47,4.79,Reject
FR00182,Grapes,1.74,6.35,0.99,0.38,0.01,0.53,2,0.47,0.29,0.3,27.35,Reject
FR00183,Apple,7.18,143.93,0.92,0.42,0.99,0.12,1,0.34,0.55,0.26,4.99,Local
FR00184,Apple,7.06,203.16,0.91,0.73,0.77,0.78,2,0.91,0.33,0.44,3.48,Local
FR00185,Mango,11.73,214.88,0.47,0.22,0.36,0.52,1,0.26,0.68,0.26,5.46,Reject
FR00186,Banana,20.39,123.61,0.89,0.99,0.98,0.81,0,0.21,0.23,0.11,16.49,Export
FR00187,Grapes,2.06,4.74,0.42,0.75,0.09,0.8,2,0.88,0.36,0.44,43.48,Local
FR00188,Watermelon,22.75,5253.32,0.44,0.79,0.46,0.47,3,0.63,0.63,0.47,0.43,Local
FR00189,Pomegranate,8.41,356.3,0.38,0.11,0.06,0.5,0,0.19,0.3,0.12,2.36,Reject
FR00190,Peach,5.93,172.26,0.9,0.48,0.33,0.03,2,0.64,0.28,0.35,3.44,Local
FR00191,Orange,7.4,156.73,0.38,0.95,0.22,0.52,0,0.88,0.38,0.34,4.72,Local
FR00192,Peach,7.7,126.76,0.4,0.27,0.32,0.68,3,0.09,0.62,0.3,6.07,Reject
FR00193,Pear,9.93,106.9,0.47,0.15,0.95,0.23,0,0.26,0.33,0.14,9.29,Reject
FR00194,Apple,7.31,137.82,0.7,0.49,0.43,0.99,2,0.6,0.43,0.37,5.3,Local
FR00195,Pomegranate,7.65,270.97,0.92,0.93,0.32,0.97,1,0.11,0.02,0.09,2.82,Export
FR00196,Pear,9.42,198.97,0.59,0.49,0.64,0.28,0,0.91,0.7,0.41,4.73,Local
FR00197,Grapes,2.06,4.5,0.68,0.4,0.68,0.71,0,0.59,0.81,0.34,45.72,Local
FR00198,Orange,7.83,152.8,0.42,0.65,0.98,0.03,0,0.58,0.83,0.34,5.13,Local
FR00199,Banana,20.02,133.98,0.49,0.94,0.55,0.67,1,0.06,0.55,0.18,14.94,Local
FR00200,Pomegranate,9.03,242.32,0.39,0.05,0.75,0.62,0,0.42,0.42,0.21,3.73,Reject
FR00201,Pomegranate,8.29,256.91,0.59,0.15,0.38,0.82,2,0.19,0.19,0.2,3.23,Reject
FR00202,Apple,7.7,166.43,0.71,0.13,0.17,0.3,3,0.81,0.66,0.52,4.62,Reject
FR00203,Strawberry,3.8,19.85,0.5,0.09,0.43,0.88,1,0.34,0.58,0.27,19.15,Reject
FR00204,Pomegranate,9.02,286.02,0.89,0.3,0.42,0.86,0,0.4,0.43,0.21,3.15,Reject
FR00205,Mango,10.32,215.3,0.99,0.23,0.42,0.67,0,0.64,0.61,0.32,4.79,Reject
FR00206,Orange,5.92,134.36,0.38,0.55,0.7,0.47,1,0.72,0.95,0.46,4.41,Local
FR00207,Orange,7.93,134.18,0.31,0.33,0.41,0.62,1,0.79,0.14,0.31,5.91,Reject
FR00208,Mango,10.69,267.49,0.85,0.41,0.95,0.73,1,0.17,0.96,0.3,3.99,Local
FR00209,Watermelon,26.56,4190.35,0.43,0.94,0.98,0.98,1,0.26,0.57,0.24,0.63,Local
FR00210,Mango,12.32,292.28,0.55,0.16,0.52,0.12,0,0.09,0.83,0.19,4.21,Reject
FR00211,Mango,9.51,219.11,0.58,0.39,0.56,0.31,1,0.86,0.99,0.51,4.34,Reject
FR00212,Orange,8.57,146.7,0.94,0.26,0.41,0.78,1,0.32,0.93,0.33,5.84,Reject
FR00213,Peach,5.14,110.61,0.76,0.55,0.36,0.41,2,0.13,0.4,0.22,4.64,Local
FR00214,Orange,7.28,123.83,0.33,0.74,0.99,0.67,0,0.31,0.46,0.18,5.88,Local
FR00215,Strawberry,3.33,20.1,0.31,0.82,0.04,0.13,0,0.06,0.61,0.14,16.55,Local
FR00216,Apple,9.4,153.03,0.44,0.52,0.41,0.71,1,0.84,0.64,0.43,6.15,Local
FR00217,Pear,10.16,218.58,0.52,0.85,0.15,0.67,1,0.29,0.23,0.18,4.65,Local
FR00218,Peach,8.2,145.98,0.64,0.79,0.73,0.59,0,0.35,0.95,0.29,5.62,Local
FR00219,Banana,13.76,128.29,0.89,0.16,0.19,0.77,2,0.94,0.83,0.55,10.72,Reject
FR00220,Pear,10.13,177.81,0.52,0.25,0.88,0.88,2,0.19,0.13,0.18,5.7,Reject
FR00221,Apple,9.67,180.64,0.56,0.67,0.37,0.83,3,0.2,0.99,0.41,5.36,Local
FR00222,Strawberry,3.74,23.26,0.53,0.97,0.92,0.13,0,0.56,1.0,0.37,16.07,Local
FR00223,Strawberry,3.64,12.52,0.31,0.38,0.99,0.74,3,0.97,0.35,0.51,29.07,Reject
FR00224,Banana,16.92,141.55,0.97,0.23,0.77,0.45,2,0.9,0.85,0.54,11.95,Reject
FR00225,Peach,6.32,135.31,0.4,0.87,0.62,0.33,0,0.59,0.26,0.23,4.67,Local
FR00226,Watermelon,21.87,6337.94,0.5,0.2,0.15,0.88,1,0.81,0.16,0.33,0.34,Reject
FR00227,Mango,13.22,216.85,0.39,0.7,0.93,0.56,2,0.49,0.85,0.42,6.1,Local
FR00228,Peach,7.12,125.71,0.64,0.03,0.78,0.5,1,0.43,0.56,0.29,5.67,Reject
FR00229,Watermelon,26.84,5382.26,0.95,0.02,0.29,0.78,4,0.4,0.06,0.33,0.5,Reject
FR00230,Strawberry,3.84,21.0,0.37,0.45,0.47,0.55,0,0.45,0.83,0.3,18.29,Local
FR00231,Orange,10.14,126.87,0.61,0.66,0.07,0.86,4,0.71,0.38,0.49,7.99,Local
FR00232,Apple,6.36,150.57,0.32,0.14,0.66,0.1,0,0.82,0.17,0.28,4.22,Reject
FR00233,Banana,14.61,93.14,0.84,0.76,0.13,0.78,1,0.58,0.53,0.33,15.69,Local
FR00234,Apple,7.04,137.87,0.75,0.13,0.65,0.16,2,0.87,0.47,0.45,5.11,Reject
FR00235,Grapes,1.77,5.39,0.79,0.53,0.67,0.23,0,0.64,0.8,0.35,32.86,Local
FR00236,Grapes,1.88,4.87,0.63,0.31,0.32,0.18,1,0.8,0.48,0.39,38.61,Reject
FR00237,Peach,7.75,123.91,0.94,0.75,0.95,0.24,1,0.69,0.66,0.39,6.26,Local
FR00238,Strawberry,3.39,21.1,0.59,0.8,0.78,0.73,1,0.77,0.35,0.35,16.06,Local
FR00239,Strawberry,2.68,12.85,0.66,0.07,0.5,0.66,0,0.02,0.11,0.03,20.9,Reject
FR00240,Mango,11.46,268.45,0.79,0.19,0.92,0.23,3,0.87,0.04,0.42,4.27,Reject
FR00241,Mango,13.72,255.93,0.66,0.89,0.86,0.27,0,0.89,0.32,0.33,5.36,Local
FR00242,Mango,12.08,242.67,0.43,0.42,0.69,0.1,2,0.84,0.67,0.49,4.98,Local
FR00243,Orange,7.77,187.51,0.52,0.48,0.15,0.41,2,0.73,0.01,0.32,4.14,Local
FR00244,Pear,6.71,191.17,0.36,0.17,0.5,0.38,3,0.79,0.25,0.44,3.51,Reject
FR00245,Pomegranate,11.31,291.85,0.6,0.99,0.86,0.15,2,0.18,0.15,0.18,3.87,Local
FR00246,Pear,10.78,163.01,0.73,0.92,0.61,0.83,0,0.05,0.46,0.11,6.61,Export
FR00247,Apple,7.97,160.8,0.38,0.0,0.55,0.85,1,0.29,0.75,0.29,4.96,Reject
FR00248,Pear,6.61,148.46,0.74,0.55,0.96,0.11,1,0.44,0.55,0.29,4.45,Local
FR00249,Orange,6.51,168.5,0.93,0.87,0.02,0.27,0,0.27,0.61,0.2,3.87,Local
FR00250,Apple,8.84,167.78,0.54,0.43,0.01,0.74,1,0.87,0.95,0.5,5.27,Local
